Window_ID,Center_Sentence,Full_Window_Text,Valence,Arousal,Dominance,Narrative_Progress,Valence_Smooth,Arousal_Smooth,Dominance_Smooth,NEI,zV_drop,zA_rise,zD_drop,Entrapment,VAD_range,Convergence,Episode_ID
1,"He lay on his armour-like back, and if he lifted his head a little he could see his brown belly, slightly domed and divided by arches into stiff sections.","One morning, when Gregor Samsa woke from troubled dreams, he found himself transformed in his bed into a horrible vermin. He lay on his armour-like back, and if he lifted his head a little he could see his brown belly, slightly domed and divided by arches into stiff sections. The bedding was hardly able to cover it and seemed ready to slide off any moment.",3.343218,4.002045,4.138958,0.0,4.0265822,3.1298847,4.3125415,0.0,1.6322597995693822,0.0,1.773650089490581,0,1.1826568000000002,0,0
2,The bedding was hardly able to cover it and seemed ready to slide off any moment.,"He lay on his armour-like back, and if he lifted his head a little he could see his brown belly, slightly domed and divided by arches into stiff sections. The bedding was hardly able to cover it and seemed ready to slide off any moment. His many legs, pitifully thin compared with the size of the rest of him, waved about helplessly as he looked.",3.4627671,3.0003643,4.288175,0.0013037809647979,4.121589,3.0411417,4.3518004,0.0,1.427404876622815,0.0,1.6692334498856305,0,1.3106587000000003,0,0
3,"His many legs, pitifully thin compared with the size of the rest of him, waved about helplessly as he looked.","The bedding was hardly able to cover it and seemed ready to slide off any moment. His many legs, pitifully thin compared with the size of the rest of him, waved about helplessly as he looked. “What’s happened to me?” he thought.",3.799357,2.9683979,4.156534,0.0026075619295958,4.2054133,2.96319,4.389308,0.0,1.2466618085734764,0.0,1.5694747314384352,0,1.4261179999999998,0,0
4,“What’s happened to me?” he thought.,"His many legs, pitifully thin compared with the size of the rest of him, waved about helplessly as he looked. “What’s happened to me?” he thought. It wasn’t a dream.",3.6859276,3.102746,3.5549793,0.0039113428943937,4.278054,2.8960295,4.425064,0.0,1.0900329672559637,0.0,1.4743747320570308,0,1.5290344999999999,0,0
5,It wasn’t a dream.,"“What’s happened to me?” he thought. It wasn’t a dream. His room, a proper human room although a little too small, lay peacefully between its four familiar walls.",5.325382,2.3933566,4.6454234,0.0052151238591916,4.3395123,2.8396602,4.459069,0.0,0.9575157652143521,0.0,1.3839318559253413,0,1.6194088000000004,0,0
6,"His room, a proper human room although a little too small, lay peacefully between its four familiar walls.","It wasn’t a dream. His room, a proper human room although a little too small, lay peacefully between its four familiar walls. A collection of textile samples lay spread out on the table—Samsa was a travelling salesman—and above it there hung a picture that he had recently cut out of an illustrated magazine and housed in a nice, gilded frame.",6.390977,2.9053617,5.4619827,0.0065189048239895,4.389787,2.794082,4.491322,0.0,0.849112789904566,0.0,1.29814876273683,0,1.6972400000000003,0,0
7,"A collection of textile samples lay spread out on the table—Samsa was a travelling salesman—and above it there hung a picture that he had recently cut out of an illustrated magazine and housed in a nice, gilded frame.","His room, a proper human room although a little too small, lay peacefully between its four familiar walls. A collection of textile samples lay spread out on the table—Samsa was a travelling salesman—and above it there hung a picture that he had recently cut out of an illustrated magazine and housed in a nice, gilded frame. It showed a lady fitted out with a fur hat and fur boa who sat upright, raising a heavy fur muff that covered the whole of her lower arm towards the viewer.",5.14607,2.224564,4.8756843,0.0078226857887874,4.4288793,2.759295,4.521824,0.0,0.7648214538706811,0.0,1.217022792798036,0,1.7625289999999998,0,0
8,"It showed a lady fitted out with a fur hat and fur boa who sat upright, raising a heavy fur muff that covered the whole of her lower arm towards the viewer.","A collection of textile samples lay spread out on the table—Samsa was a travelling salesman—and above it there hung a picture that he had recently cut out of an illustrated magazine and housed in a nice, gilded frame. It showed a lady fitted out with a fur hat and fur boa who sat upright, raising a heavy fur muff that covered the whole of her lower arm towards the viewer. Gregor then turned to look out the window at the dull weather.",4.9436736,2.1712177,4.8767147,0.0091264667535853,4.4567885,2.7352993,4.550574,0.0,0.7046432664619873,0.0,1.1405566058024152,0,1.8152747000000002,0,0
9,Gregor then turned to look out the window at the dull weather.,"It showed a lady fitted out with a fur hat and fur boa who sat upright, raising a heavy fur muff that covered the whole of her lower arm towards the viewer. Gregor then turned to look out the window at the dull weather. Drops of rain could be heard hitting the pane, which made him feel quite sad.",4.174311,2.303782,4.4201403,0.0104302477183833,4.4735146,2.722095,4.577573,0.0,0.6685782276784844,0.0,1.0687475420565116,0,1.8554780000000002,0,0
10,"Drops of rain could be heard hitting the pane, which made him feel quite sad.","Gregor then turned to look out the window at the dull weather. Drops of rain could be heard hitting the pane, which made him feel quite sad. “How about if I sleep a little bit longer and forget all this nonsense”, he thought, but that was something he was unable to do because he was used to sleeping on his right, and in his present state couldn’t get into that position.",4.9728317,1.7734721,5.1860723,0.0117340286831812,4.479058,2.7196817,4.60282,0.0,0.656625475034862,0.0,1.001598261253784,0,1.8831383000000002,0,0
11,"“How about if I sleep a little bit longer and forget all this nonsense”, he thought, but that was something he was unable to do because he was used to sleeping on his right, and in his present state couldn’t get into that position.","Drops of rain could be heard hitting the pane, which made him feel quite sad. “How about if I sleep a little bit longer and forget all this nonsense”, he thought, but that was something he was unable to do because he was used to sleeping on his right, and in his present state couldn’t get into that position. However hard he threw himself onto his right, he always rolled back to where he was.",5.030677,2.268242,5.163781,0.0130378096479791,4.473417,2.7280588,4.626315,0.0,0.6687886740936825,0.0,0.9391087633942347,0,1.8982562,0,0
