ROI_id,start_idx,end_idx,start_window,end_window,duration,mean_range,mean_valence,mean_arousal,mean_dominance,sample_sentences
1,7,32,8,33,26,0.07175919259916216,0.08254988419589471,0.024991237275310094,0.06827508482364233,"It showed a lady fitted out with a fur hat and fur boa who sat upright, raising a heavy fur muff that covered the whole of her lower arm towards the viewer. || “Getting up early all the time”, he thought, “it makes you stupid. || “God in Heaven!”"
2,35,38,36,39,4,0.13575077639751376,0.08674499264465399,-0.010218724256292725,-0.049005783752859806,"He could see from the bed that it had been set for four o’clock as it should have been; it certainly must have rung. || Yes, but was it possible to quietly sleep through that furniture-rattling noise? || What should he do now?"
3,45,78,46,79,34,0.09161533449993155,0.056762516777877456,-0.010418137703593906,0.051115109801356945,"And what’s more, would he have been entirely wrong in this case? || Aren’t you well? || But when he had at last got his head out of the bed and into the fresh air it occurred to him that if he let himself fall it would be a miracle if his head were not injured, so he became afraid to carry on pushing himself forward the same way."
4,80,100,81,101,21,0.0643449729914841,0.05723224956801869,0.021764279487538406,0.05192399897258605,"It took just as much effort to get back to where he had been earlier, but when he lay there sighing, and was once more watching his legs as they struggled against each other even harder than before, if that was possible, he could think of no way of bringing peace and order to this chaos. || His back seemed to be quite hard, and probably nothing would happen to it falling onto the carpet. || “That’ll be someone from work”, he said to himself, and froze very still, although his little legs only became all the more lively as they danced around."
5,114,117,115,118,4,0.13981900294213617,0.07399837038247695,-0.045578363027132474,0.08982371444916525,"But as if in gruff reply to this question, the chief clerk’s firm footsteps in his highly polished boots could now be heard in the adjoining room. || From the room on his right, Gregor’s sister whispered to him to let him know: “Gregor, the chief clerk is here.” || “Gregor”, said his father now from the room to his left, “the chief clerk has come round and wants to know why you didn’t leave on the early train."
6,129,141,130,142,13,0.09604344330726357,0.04674351648351585,-0.03971924837176502,0.04543600422460773,"His idea of relaxation is working with his fretsaw. || But on the other hand, I must say that if we people in commerce ever become slightly unwell then, fortunately or unfortunately as you like, we simply have to overcome it because of business considerations.” || And why was she crying?"
7,149,180,150,181,32,0.08831856979404917,0.04221465429878988,-0.03601333840715874,0.01040298146861703,"The chief clerk now raised his voice, “Mr. Samsa”, he called to him, “what is wrong? || It’s not quite as easy as I’d thought. || The first few times he tried to climb up on the smooth chest of drawers he just slid down again, but he finally gave himself one last swing and stood there upright; the lower part of his body was in serious pain"
8,182,196,183,197,15,0.08855205709926883,0.06679938018960359,-0.0030553490247357323,0.06849511408957087,Now he let himself fall against the back of a nearby chair and held tightly to the edges of it with his little legs. || “You’ll have to go for the doctor straight away. || There was no sound of the door banging shut again; they must have left it open; people often do in homes where something awful has happened.
9,204,206,205,207,3,0.14645602702408006,0.0676942443064173,-0.06648879699248039,0.07584629944426184,"Perhaps his parents were sat at the table whispering with the chief clerk, or perhaps they were all pressed against the door and listening. || Gregor slowly pushed his way over to the door with the chair. || Once there he let go of it and threw himself onto the door, holding himself upright against it using the adhesive on the tips of his legs."
10,209,221,210,222,13,0.110721978776371,0.013050664621419576,0.006776588125832855,0.10897063520003886,"“Listen”, said the chief clerk in the next room, “he’s turning the key.” || Because he had to open the door in this way, it was already wide open before he could be seen. || His father looked hostile, and clenched his fists as if wanting to knock Gregor back into his room."
11,233,265,234,266,33,0.09054067134238647,0.0845923268645912,0.040819563830524375,0.1216320160083989,"Will you report everything accurately, then? || Gregor realised that it was out of the question to let the chief clerk go away in this mood if his position in the firm was not to be put into extreme danger. || Gregor, though, had no time to spare for his parents now; the chief clerk had already reached the stairs; with his chin on the banister, he looked back for the last time."
