Window_ID,Center_Sentence,Full_Window_Text,Valence,Arousal,Dominance,Narrative_Progress,Valence_Smooth,Arousal_Smooth,Dominance_Smooth,NEI,zV_drop,zA_rise,zD_drop,Entrapment,VAD_range,Convergence,Episode_ID
1,"He lay on his armour-like back, and if he lifted his head a little he could see his brown belly, slightly domed and divided by arches into stiff sections.","One morning, when Gregor Samsa woke from troubled dreams, he found himself transformed in his bed into a horrible vermin. He lay on his armour-like back, and if he lifted his head a little he could see his brown belly, slightly domed and divided by arches into stiff sections. The bedding was hardly able to cover it and seemed ready to slide off any moment.",-0.54134935,0.04708293,-0.10666698,0.0,-0.6382226,-0.3151847,-0.62027645,0.0,3.242991608710885,0.0,3.498076699532153,0,0.3230379,0,0
2,The bedding was hardly able to cover it and seemed ready to slide off any moment.,"He lay on his armour-like back, and if he lifted his head a little he could see his brown belly, slightly domed and divided by arches into stiff sections. The bedding was hardly able to cover it and seemed ready to slide off any moment. His many legs, pitifully thin compared with the size of the rest of him, waved about helplessly as he looked.",-0.7557742,-0.3800968,-0.6842862,0.0013037809647979,-0.55623686,-0.31658924,-0.5904034,0.0,2.821986883112851,0.0,3.270121078659162,0,0.27381416000000003,0,0
3,"His many legs, pitifully thin compared with the size of the rest of him, waved about helplessly as he looked.","The bedding was hardly able to cover it and seemed ready to slide off any moment. His many legs, pitifully thin compared with the size of the rest of him, waved about helplessly as he looked. “What’s happened to me?” he thought.",-0.72711766,-0.13827108,-0.853913,0.0026075619295958,-0.48062944,-0.31651515,-0.5612314,0.0,2.433735449262582,0.0,3.04751503836174,0,0.24471625000000002,0,0
4,“What’s happened to me?” he thought.,"His many legs, pitifully thin compared with the size of the rest of him, waved about helplessly as he looked. “What’s happened to me?” he thought. It wasn’t a dream.",-0.844379,-0.06821643,-0.79004025,0.0039113428943937,-0.4114003,-0.31496254,-0.5327604,0.0,2.078237101756199,0.0,2.8302581970993,0,0.21779786,0,0
5,It wasn’t a dream.,"“What’s happened to me?” he thought. It wasn’t a dream. His room, a proper human room although a little too small, lay peacefully between its four familiar walls.",-0.2616068,-0.49535578,-0.5157562,0.0052151238591916,-0.34854946,-0.3119313,-0.5049905,0.0,1.7554919432956428,0.0,2.618351317953017,0,0.1930592,0,0
6,"His room, a proper human room although a little too small, lay peacefully between its four familiar walls.","It wasn’t a dream. His room, a proper human room although a little too small, lay peacefully between its four familiar walls. A collection of textile samples lay spread out on the table—Samsa was a travelling salesman—and above it there hung a picture that he had recently cut out of an illustrated magazine and housed in a nice, gilded frame.",0.3250425,-0.5723039,-0.40821052,0.0065189048239895,-0.29207692,-0.30742154,-0.47792175,0.0,1.4654999738809127,0.0,2.4117947824634776,0,0.18584482999999996,0,0
7,"A collection of textile samples lay spread out on the table—Samsa was a travelling salesman—and above it there hung a picture that he had recently cut out of an illustrated magazine and housed in a nice, gilded frame.","His room, a proper human room although a little too small, lay peacefully between its four familiar walls. A collection of textile samples lay spread out on the table—Samsa was a travelling salesman—and above it there hung a picture that he had recently cut out of an illustrated magazine and housed in a nice, gilded frame. It showed a lady fitted out with a fur hat and fur boa who sat upright, raising a heavy fur muff that covered the whole of her lower arm towards the viewer.",0.10473806,-0.5783171,-0.59030193,0.0078226857887874,-0.24198264,-0.30143318,-0.45155403,0.0,1.2082609881081294,0.0,2.2105876749332727,0,0.20957139,0,0
8,"It showed a lady fitted out with a fur hat and fur boa who sat upright, raising a heavy fur muff that covered the whole of her lower arm towards the viewer.","A collection of textile samples lay spread out on the table—Samsa was a travelling salesman—and above it there hung a picture that he had recently cut out of an illustrated magazine and housed in a nice, gilded frame. It showed a lady fitted out with a fur hat and fur boa who sat upright, raising a heavy fur muff that covered the whole of her lower arm towards the viewer. Gregor then turned to look out the window at the dull weather.",0.10719623,-0.69060165,-0.48974672,0.0091264667535853,-0.19826669,-0.29396623,-0.4258874,0.0,0.9837753454340814,0.0,2.0147304532111074,0,0.22762071000000003,0,0
9,Gregor then turned to look out the window at the dull weather.,"It showed a lady fitted out with a fur hat and fur boa who sat upright, raising a heavy fur muff that covered the whole of her lower arm towards the viewer. Gregor then turned to look out the window at the dull weather. Drops of rain could be heard hitting the pane, which made him feel quite sad.",-0.123048455,-0.47119936,-0.3581365,0.0104302477183833,-0.16092902,-0.28502074,-0.40092182,0.0,0.79204278910392,0.0,1.8242228120645108,0,0.23999279999999998,0,0
10,"Drops of rain could be heard hitting the pane, which made him feel quite sad.","Gregor then turned to look out the window at the dull weather. Drops of rain could be heard hitting the pane, which made him feel quite sad. “How about if I sleep a little bit longer and forget all this nonsense”, he thought, but that was something he was unable to do because he was used to sleeping on his right, and in his present state couldn’t get into that position.",-0.17881341,-0.7393742,-0.429512,0.0117340286831812,-0.12996966,-0.27459666,-0.37665734,0.0,0.6330634731705543,0.0,1.6390651330340713,0,0.24668768000000002,0,0
