ROI_id,start_idx,end_idx,start_window,end_window,duration,mean_range,mean_valence,mean_arousal,mean_dominance,sample_sentences
1,3,5,4,6,3,0.14026189077654877,-0.3481235015895461,-0.3302715768739259,-0.4605771884644703,"“What’s happened to me?” he thought. || It wasn’t a dream. || His room, a proper human room although a little too small, lay peacefully between its four familiar walls."
2,12,14,13,15,3,0.13125390638308423,-0.10018221096098912,-0.11863895756820236,-0.2057276867115713,"He must have tried it a hundred times, shut his eyes so that he wouldn’t have to look at the floundering legs, and only stopped when he began to feel a mild, dull pain there that he had never felt before. || “Oh, God”, he thought, “what a strenuous career it is that I’ve chosen! || Travelling day in and day out."
3,29,31,30,32,3,0.11069343120291479,-0.08029888293994399,-0.10381236042385983,-0.0408050268989952,"That’s when I’ll make the big change. || First of all though, I’ve got to get up, my train leaves at five.” || And he looked over at the alarm clock, ticking on the chest of drawers."
4,43,54,44,55,12,0.07390291666050426,-0.08502702743583883,-0.06415521809478016,-0.0964049532726578,"But that would be extremely strained and suspicious as in five years of service Gregor had never once yet been ill. || There was a cautious knock at the door near his head. || but then there was a sort of echo which made them unclear, leaving the hearer unsure whether he had heard properly or not."
5,59,72,60,73,14,0.08698670455059207,-0.0872069185387959,-0.07909646847773266,-0.13526276027765224,"And after a short while he called again with a warning deepness in his voice: “Gregor! Gregor!” || Gregor, however, had no thought of opening the door, and instead congratulated himself for his cautious habit, acquired from his travelling, of locking all doors at night even when he was at home. || He would have used his arms and his hands to push himself up; but instead of them he only had all those little legs continuously moving in different directions, and which he was moreover unable to control."
6,76,77,77,78,2,0.10451932941100839,-0.11566301745683025,-0.0720511887444161,-0.15330249374112925,"So then he tried to get the top part of his body out of the bed first, carefully turning his head to the side. || So then he tried to get the top part of his body out of the bed first, carefully turning his head to the side. || This he managed quite easily, and despite its breadth and its weight, the bulk of his body eventually followed slowly in the direction of the head."
7,103,108,104,109,6,0.07658145984261605,-0.09081527964980429,-0.06041565596881904,-0.0687681301083365,"But then of course, the maid’s firm steps went to the door as ever and opened it. || Why did Gregor have to be the only one condemned to work for a company where they immediately became highly suspicious at the slightest shortcoming? || And more because these thoughts had made him upset than through any proper decision, he swang himself with all his force out of the bed."
8,114,118,115,119,5,0.10879552361694397,-0.09533810483918187,-0.12681009219170683,-0.03096311210894236,"But as if in gruff reply to this question, the chief clerk’s firm footsteps in his highly polished boots could now be heard in the adjoining room. || “Yes, I know”, said Gregor to himself; but without daring to raise his voice loud enough for his sister to hear him. || We don’t know what to say to him."
9,155,158,156,159,4,0.106933708647269,-0.290969453385837,-0.3531085222164243,-0.27107386738329486,"But now that I see your incomprehensible stubbornness I no longer feel any wish whatsoever to intercede on your behalf. || And nor is your position all that secure. || Your turnover has been very unsatisfactory of late; I grant you that it’s not the time of year to do especially good business, we recognise that; but there simply is no time of year to do no business at all, Mr. Samsa, we cannot allow there to be.”"
10,176,178,177,179,3,0.09182177535853327,-0.12451471735335384,-0.09837571700201182,-0.1636417617271784,"And while Gregor gushed out these words, hardly knowing what he was saying, he made his way over to the chest of drawers—this was easily done, probably because of the practise he had already had in bed—where he now tried to get himself upright. || He really did want to open the door, really did want to let them see him and to speak with the chief clerk; the others were being so insistent, and he was curious to learn what they would say when they caught sight of him. || If they were shocked then it would no longer be Gregor’s responsibility and he could rest."
11,185,187,186,188,3,0.11079200699911484,-0.15324624278316049,-0.12073655395082501,-0.21448995483661604,"the chief clerk asked his parents, “surely he’s not trying to make fools of us”. || “Oh, God!” called his mother, who was already in tears, “he could be seriously ill and we’re making him suffer. || “Mother?” his sister called from the other side."
12,195,196,196,197,2,0.1223838820550532,0.033394430302011203,0.0757519767850131,-0.0457006406404946,How had his sister managed to get dressed so quickly? || How had his sister managed to get dressed so quickly? || There was no sound of the door banging shut again; they must have left it open; people often do in homes where something awful has happened.
