Window_ID,Center_Sentence,Full_Window_Text,Valence_Ridge,Arousal_Ridge,Dominance_Ridge,Valence_RF,Arousal_RF,Dominance_RF,Narrative_Progress,Valence_Ridge_Smooth,Arousal_Ridge_Smooth,Dominance_Ridge_Smooth,Valence_RF_Smooth,Arousal_RF_Smooth,Dominance_RF_Smooth,VAD_range,Convergence,Entr_Index,Entrapment,Episode_ID
1,"He lay on his armour-like back, and if he lifted his head a little he could see his brown belly, slightly domed and divided by arches into stiff sections.","One morning, when Gregor Samsa woke from troubled dreams, he found himself transformed in his bed into a horrible vermin. He lay on his armour-like back, and if he lifted his head a little he could see his brown belly, slightly domed and divided by arches into stiff sections. The bedding was hardly able to cover it and seemed ready to slide off any moment.",3.332108974456787,4.186925411224365,4.131074905395508,5.1824,4.062,5.2562,0.0,4.135681481094833,3.498880028118863,4.361525958032677,5.173618351214004,3.9297241671372087,5.162676453980801,0.8626459299138136,0,3.0766863817159917,0,0
2,The bedding was hardly able to cover it and seemed ready to slide off any moment.,"He lay on his armour-like back, and if he lifted his head a little he could see his brown belly, slightly domed and divided by arches into stiff sections. The bedding was hardly able to cover it and seemed ready to slide off any moment. His many legs, pitifully thin compared with the size of the rest of him, waved about helplessly as he looked.",3.640916109085083,3.2780978679656982,4.235795021057129,5.1308,3.9395,4.9642,0.0013037809647979,4.228681765351168,3.398641770576636,4.417335195988332,5.157508819875777,3.9369332806324095,5.140340790513833,1.018693425411696,0,2.6195513501499668,0,0
3,"His many legs, pitifully thin compared with the size of the rest of him, waved about helplessly as he looked.","The bedding was hardly able to cover it and seemed ready to slide off any moment. His many legs, pitifully thin compared with the size of the rest of him, waved about helplessly as he looked. “What’s happened to me?” he thought.",3.909205913543701,3.473006010055542,4.141507148742676,4.9199,3.991,5.0003,0.0026075619295958,4.312261077046816,3.310256568112059,4.469795887251092,5.141808548842462,3.946094107402893,5.120130202581552,1.1595393191390326,0,2.282875744320169,0,0
4,“What’s happened to me?” he thought.,"His many legs, pitifully thin compared with the size of the rest of him, waved about helplessly as he looked. “What’s happened to me?” he thought. It wasn’t a dream.",3.8042616844177246,3.584027051925659,3.787543773651123,4.8074,4.0645,4.9129000000000005,0.0039113428943937,4.386419416181775,3.233724420725132,4.518908031820956,5.12651753811406,3.95720664744866,5.102044690183957,1.2851836110958241,0,1.9767125420328469,0,0
5,It wasn’t a dream.,"“What’s happened to me?” he thought. It wasn’t a dream. His room, a proper human room although a little too small, lay peacefully between its four familiar walls.",5.595547676086426,2.9283015727996826,4.83866548538208,4.7781,3.9558,4.8358,0.0052151238591916,4.451156782756047,3.169045328415855,4.564671629697926,5.11163578769057,3.97027090076971,5.086084253321049,1.3956263012820713,0,1.7010617432879953,0,0
6,"His room, a proper human room although a little too small, lay peacefully between its four familiar walls.","It wasn’t a dream. His room, a proper human room although a little too small, lay peacefully between its four familiar walls. A collection of textile samples lay spread out on the table—Samsa was a travelling salesman—and above it there hung a picture that he had recently cut out of an illustrated magazine and housed in a nice, gilded frame.",6.419566631317139,2.9812631607055664,5.780691146850586,5.6962,3.8168,5.4526,0.0065189048239895,4.506473176769631,3.116219291184228,4.607086680882001,5.097163297571993,3.985286867366043,5.072248891992828,1.4908673896977733,0,1.4559233480856162,0,0
7,"A collection of textile samples lay spread out on the table—Samsa was a travelling salesman—and above it there hung a picture that he had recently cut out of an illustrated magazine and housed in a nice, gilded frame.","His room, a proper human room although a little too small, lay peacefully between its four familiar walls. A collection of textile samples lay spread out on the table—Samsa was a travelling salesman—and above it there hung a picture that he had recently cut out of an illustrated magazine and housed in a nice, gilded frame. It showed a lady fitted out with a fur hat and fur boa who sat upright, raising a heavy fur muff that covered the whole of her lower arm towards the viewer.",5.313345432281494,2.409854888916016,5.262423992156982,5.5145,3.8356,5.3887,0.0078226857887874,4.552368598222527,3.075246309030251,4.646153185373182,5.083100067758329,4.0022545472376585,5.060538606199293,1.5709068763429306,0,1.2412973564257073,0,0
8,"It showed a lady fitted out with a fur hat and fur boa who sat upright, raising a heavy fur muff that covered the whole of her lower arm towards the viewer.","A collection of textile samples lay spread out on the table—Samsa was a travelling salesman—and above it there hung a picture that he had recently cut out of an illustrated magazine and housed in a nice, gilded frame. It showed a lady fitted out with a fur hat and fur boa who sat upright, raising a heavy fur muff that covered the whole of her lower arm towards the viewer. Gregor then turned to look out the window at the dull weather.",5.054002285003662,2.241072416305542,5.1306681632995605,5.4787,3.8659,5.2468,0.0091264667535853,4.588843047114735,3.046126381953924,4.681871143171467,5.069446098249577,4.021173940384558,5.050953395940444,1.6357447612175426,0,1.0571837683082732,0,0
9,Gregor then turned to look out the window at the dull weather.,"It showed a lady fitted out with a fur hat and fur boa who sat upright, raising a heavy fur muff that covered the whole of her lower arm towards the viewer. Gregor then turned to look out the window at the dull weather. Drops of rain could be heard hitting the pane, which made him feel quite sad.",4.14757776260376,2.49315881729126,4.38079309463501,5.0364,3.9904,5.08,0.0104302477183833,4.615896523446256,3.0288595099552467,4.714240554276857,5.056201389045737,4.04204504680674,5.043493261216282,1.68538104432161,0,0.9035825837333095,0,0
10,"Drops of rain could be heard hitting the pane, which made him feel quite sad.","Gregor then turned to look out the window at the dull weather. Drops of rain could be heard hitting the pane, which made him feel quite sad. “How about if I sleep a little bit longer and forget all this nonsense”, he thought, but that was something he was unable to do because he was used to sleeping on his right, and in his present state couldn’t get into that position.",5.071874618530273,2.5746617317199707,4.997879981994629,5.3575,4.0191,5.3688,0.0117340286831812,4.633529027217089,3.02344569303422,4.743261418689352,5.043365940146809,4.064867866504205,5.038158202026806,1.719815725655132,0,0.7804938027008181,0,0
11,"“How about if I sleep a little bit longer and forget all this nonsense”, he thought, but that was something he was unable to do because he was used to sleeping on his right, and in his present state couldn’t get into that position.","Drops of rain could be heard hitting the pane, which made him feel quite sad. “How about if I sleep a little bit longer and forget all this nonsense”, he thought, but that was something he was unable to do because he was used to sleeping on his right, and in his present state couldn’t get into that position. However hard he threw himself onto his right, he always rolled back to where he was.",5.317527294158936,2.821356296539306,5.136271953582764,4.8101,4.0632,4.9774,0.0130378096479791,4.641740558427178,3.0298849311908054,4.768933736408894,5.030939751552733,4.089642399476904,5.034948218371955,1.739048805218089,0,0.6879174252110922,0,0
12,"However hard he threw himself onto his right, he always rolled back to where he was.","“How about if I sleep a little bit longer and forget all this nonsense”, he thought, but that was something he was unable to do because he was used to sleeping on his right, and in his present state couldn’t get into that position. However hard he threw himself onto his right, he always rolled back to where he was. He must have tried it a hundred times, shut his eyes so that he wouldn’t have to look at the floundering legs, and only stopped when he began to feel a mild, dull pain there that he had never felt before.",4.172781467437744,3.28086519241333,4.654177188873291,4.4272,4.0838,4.5941,0.014341590612777,4.584284164734803,3.1365041275279677,4.791376167046649,4.999952206603403,4.14242242562924,5.03626388798076,1.6548720395186813,0,0.7497072486860177,0,0
13,"He must have tried it a hundred times, shut his eyes so that he wouldn’t have to look at the floundering legs, and only stopped when he began to feel a mild, dull pain there that he had never felt before.","However hard he threw himself onto his right, he always rolled back to where he was. He must have tried it a hundred times, shut his eyes so that he wouldn’t have to look at the floundering legs, and only stopped when he began to feel a mild, dull pain there that he had never felt before. “Oh, God”, he thought, “what a strenuous career it is that I’ve chosen!",3.951821804046631,3.628777503967285,4.492711067199707,4.7678,4.2302,4.8389,0.0156453715775749,4.475729881372612,3.201555904900922,4.78285502841865,4.991388558352342,4.1868783916312005,5.019415102974766,1.581299123517728,0,1.0141136314331884,0,0
14,"“Oh, God”, he thought, “what a strenuous career it is that I’ve chosen!","He must have tried it a hundred times, shut his eyes so that he wouldn’t have to look at the floundering legs, and only stopped when he began to feel a mild, dull pain there that he had never felt before. “Oh, God”, he thought, “what a strenuous career it is that I’ve chosen! Travelling day in and day out.",3.6838338375091553,3.57095718383789,4.446465492248535,5.1968,4.2686,5.202,0.0169491525423728,4.382660196512523,3.273361771119929,4.747511604168109,4.997942039882253,4.222691598561569,5.0416427590715305,1.4741498330481795,0,1.3221080720048661,0,0
15,Travelling day in and day out.,"“Oh, God”, he thought, “what a strenuous career it is that I’ve chosen! Travelling day in and day out. Doing business like this takes much more effort than doing your own business at home, and on top of that there’s the curse of travelling, worries about making train connections, bad and irregular food, contact with different people all the time so that you can never get to know anyone or become friendly with them.",4.132328033447266,3.7937960624694815,4.834746360778809,5.6487,4.3092,5.3277,0.0182529335071707,4.135705600107472,3.3769438371193385,4.646973140413465,4.946861065707687,4.253273716900896,5.008820867385794,1.2700293032941263,0,2.1589457433682786,0,0
