Window_ID,Center_Sentence,Full_Window_Text,Valence_Ridge,Arousal_Ridge,Dominance_Ridge,Valence_RF,Arousal_RF,Dominance_RF,Narrative_Progress,Valence_Ridge_Smooth,Arousal_Ridge_Smooth,Dominance_Ridge_Smooth,Valence_RF_Smooth,Arousal_RF_Smooth,Dominance_RF_Smooth,VAD_range,Convergence,Entr_Index,Entrapment,Episode_ID
1,"He lay on his armour-like back, and if he lifted his head a little he could see his brown belly, slightly domed and divided by arches into stiff sections.","One morning, when Gregor Samsa woke from troubled dreams, he found himself transformed in his bed into a horrible vermin. He lay on his armour-like back, and if he lifted his head a little he could see his brown belly, slightly domed and divided by arches into stiff sections. The bedding was hardly able to cover it and seemed ready to slide off any moment.",-0.557431697845459,0.0510091260075569,-0.0663427859544754,0.09464,-0.03913,-0.0004599999999999,0.0,-0.6314650481237594,-0.364248935417191,-0.5659948135334384,0.1034929700734048,-0.1187106380575946,-0.1326279107848674,0.2361208808582722,0,3.93126063408327,1,1
2,The bedding was hardly able to cover it and seemed ready to slide off any moment.,"He lay on his armour-like back, and if he lifted his head a little he could see his brown belly, slightly domed and divided by arches into stiff sections. The bedding was hardly able to cover it and seemed ready to slide off any moment. His many legs, pitifully thin compared with the size of the rest of him, waved about helplessly as he looked.",-0.7487190365791321,-0.4009295105934143,-0.6489518880844116,0.16038,-0.04373,-0.06685,0.0013037809647979,-0.5508827171740159,-0.3571190678555035,-0.5389207144108522,0.105047377752682,-0.1060032128740824,-0.1071350310559007,0.2121824088085827,0,3.4635734355710945,1,1
3,"His many legs, pitifully thin compared with the size of the rest of him, waved about helplessly as he looked.","The bedding was hardly able to cover it and seemed ready to slide off any moment. His many legs, pitifully thin compared with the size of the rest of him, waved about helplessly as he looked. “What’s happened to me?” he thought.",-0.7463393211364746,-0.2005181014537811,-0.8155085444450378,-0.1298,-0.12401,-0.20074,0.0026075619295958,-0.4764563510555504,-0.3491274284575242,-0.5123011581442728,0.1062724861957264,-0.0938208071562305,-0.0833197066777616,0.2000932933519569,0,3.026662327116967,1,1
4,“What’s happened to me?” he thought.,"His many legs, pitifully thin compared with the size of the rest of him, waved about helplessly as he looked. “What’s happened to me?” he thought. It wasn’t a dream.",-0.7965497374534607,-0.1308229267597198,-0.7398784756660461,0.0234699999999999,-0.07657,-0.1331399999999999,0.0039113428943937,-0.4081859497683629,-0.3402740172232529,-0.4861361447337003,0.1071682954025379,-0.0821634209040387,-0.0611819376504502,0.1893317163065766,0,2.620527308720889,0,0
5,It wasn’t a dream.,"“What’s happened to me?” he thought. It wasn’t a dream. His room, a proper human room although a little too small, lay peacefully between its four familiar walls.",-0.2468676120042801,-0.6057820320129395,-0.4582410454750061,0.1850299999999999,-0.1714199999999999,-0.09962,0.0052151238591916,-0.3460715133124534,-0.3305588341526899,-0.4604256741791347,0.1077348053731165,-0.0710310541175072,-0.0407217239739665,0.17876585949062368,0,2.2451683803828613,0,0
6,"His room, a proper human room although a little too small, lay peacefully between its four familiar walls.","It wasn’t a dream. His room, a proper human room although a little too small, lay peacefully between its four familiar walls. A collection of textile samples lay spread out on the table—Samsa was a travelling salesman—and above it there hung a picture that he had recently cut out of an illustrated magazine and housed in a nice, gilded frame.",0.361525297164917,-0.5646450519561768,-0.3173867464065552,0.3209599999999999,-0.08395,0.0239,0.0065189048239895,-0.2901130416878218,-0.3199818792458349,-0.4351697464805759,0.1079720161074622,-0.0604237067966358,-0.0219390656483104,0.168395722904098,0,1.9005855421028819,0,0
7,"A collection of textile samples lay spread out on the table—Samsa was a travelling salesman—and above it there hung a picture that he had recently cut out of an illustrated magazine and housed in a nice, gilded frame.","His room, a proper human room although a little too small, lay peacefully between its four familiar walls. A collection of textile samples lay spread out on the table—Samsa was a travelling salesman—and above it there hung a picture that he had recently cut out of an illustrated magazine and housed in a nice, gilded frame. It showed a lady fitted out with a fur hat and fur boa who sat upright, raising a heavy fur muff that covered the whole of her lower arm towards the viewer.",0.1191613599658012,-0.573492705821991,-0.4862757921218872,0.20462,-0.1182,0.0022999999999999,0.0078226857887874,-0.2403105348944682,-0.3085431525026881,-0.410368361638024,0.1078799276055751,-0.0503413789414247,-0.004833962673482,0.1582213065469998,0,1.5867787938809528,0,0
8,"It showed a lady fitted out with a fur hat and fur boa who sat upright, raising a heavy fur muff that covered the whole of her lower arm towards the viewer.","A collection of textile samples lay spread out on the table—Samsa was a travelling salesman—and above it there hung a picture that he had recently cut out of an illustrated magazine and housed in a nice, gilded frame. It showed a lady fitted out with a fur hat and fur boa who sat upright, raising a heavy fur muff that covered the whole of her lower arm towards the viewer. Gregor then turned to look out the window at the dull weather.",0.1017203405499458,-0.6974313259124756,-0.4443951547145843,0.2026999999999999,0.0189299999999999,0.03634,0.0091264667535853,-0.1966639929323925,-0.2962426539232494,-0.3860215196514789,0.1074585398674551,-0.0407840705518737,0.0105935849505186,0.1482426104193288,1,1.3037481357170753,0,0
9,Gregor then turned to look out the window at the dull weather.,"It showed a lady fitted out with a fur hat and fur boa who sat upright, raising a heavy fur muff that covered the whole of her lower arm towards the viewer. Gregor then turned to look out the window at the dull weather. Drops of rain could be heard hitting the pane, which made him feel quite sad.",-0.1890391707420349,-0.4513243436813354,-0.3527026772499084,0.22429,-0.04436,0.0421699999999999,0.0104302477183833,-0.1591734158015948,-0.2830803835075189,-0.3621292205209407,0.1067078528931022,-0.031751781627983,0.0243435772236917,0.1384596345210852,1,1.051493567611244,0,0
10,"Drops of rain could be heard hitting the pane, which made him feel quite sad.","Gregor then turned to look out the window at the dull weather. Drops of rain could be heard hitting the pane, which made him feel quite sad. “How about if I sleep a little bit longer and forget all this nonsense”, he thought, but that was something he was unable to do because he was used to sleeping on his right, and in his present state couldn’t get into that position.",-0.1990853399038314,-0.7234627604484558,-0.4333456158638,-0.0456099999999999,-0.12121,-0.1048,0.0117340286831812,-0.1278388035020751,-0.2690563412554965,-0.3386914642464094,0.1056278666825165,-0.0232445121697524,0.036416014146037,0.1288723788522689,1,0.9574138073466671,0,0
